test_suite,test_name,smell,metric_value
test_representation.py,test_function_execution,Duplicate Assert,1
test_docstring.py,test_import_function_docstring,Duplicate Assert,1
test_imports.py,test_import_not_in_sys_path,Duplicate Assert,1
test_imports.py,test_complete_on_empty_import,Duplicate Assert,1
test_imports.py,test_imports_on_global_namespace_without_path,Duplicate Assert,2
test_annotations.py,test_simple_annotations,Duplicate Assert,1
test_stubs.py,test_infer_and_goto,Duplicate Assert,1
test_typeshed.py,test_sys_exc_info,Duplicate Assert,1
test_typeshed.py,test_math_is_stub,Duplicate Assert,4
test_conversion.py,test_sqlite3_conversion,Duplicate Assert,1
test_conversion.py,test_stub_get_line_code,Duplicate Assert,1
test_unicode.py,test_unicode_script,Duplicate Assert,1
test_api_classes_follow_definition.py,test_follow_definition_nested_import,Duplicate Assert,1
test_call_signatures.py,test_completion_interference,Duplicate Assert,1
test_call_signatures.py,test_call_magic_method,Duplicate Assert,1
test_api.py,test_infer_on_generator,Duplicate Assert,1
test_api.py,test_goto_follow_imports,Duplicate Assert,3
test_api.py,test_goto_follow_builtin_imports,Duplicate Assert,1
test_interpreter.py,test_keyword_argument,Duplicate Assert,1
test_interpreter.py,test_more_complex_instances,Duplicate Assert,1
test_classes.py,test_parent_on_completion_and_else,Duplicate Assert,7
test_classes.py,test_type,Duplicate Assert,1
test_classes.py,test_import,Duplicate Assert,5
test_completion.py,test_completion_cache,Duplicate Assert,3
test_context.py,test_context,Eager Test,2
test_api.py,test_goto_definition_cursor,Eager Test,2
test_classes.py,test_class_call,Eager Test,2
test_integration.py,test_completion,Conditional Logic,1
test_integration.py,test_static_analysis,Conditional Logic,1
test_integration.py,test_refactor,Conditional Logic,2
test_file_io.py,test_folder_io_walk,Conditional Logic,2
test_cache.py,test_cache_get_signatures,Conditional Logic,1
test_cache.py,test_cache_line_split_issues,Conditional Logic,1
test_settings.py,test_cropped_file_size,Conditional Logic,2
test_mixed.py,test_generics_methods,Conditional Logic,1
test_extension.py,test_get_signatures_extension,Conditional Logic,1
test_extension.py,test_init_extension_module,Conditional Logic,2
test_representation.py,test_function_execution,Conditional Logic,1
test_representation.py,test_class_mro,Conditional Logic,1
test_literals.py,test_f_strings,Conditional Logic,1
test_literals.py,test_thousand_separators,Conditional Logic,1
test_docstring.py,test_docstrings_type_dotted_import,Conditional Logic,1
test_docstring.py,test_docstrings_param_type,Conditional Logic,1
test_docstring.py,test_docstrings_type_str,Conditional Logic,1
test_docstring.py,test_docstring_instance,Conditional Logic,1
test_docstring.py,test_numpydoc_parameters,Conditional Logic,1
test_docstring.py,test_numpydoc_parameters_set_single_value,Conditional Logic,1
test_docstring.py,test_numpydoc_parameters_alternative_types,Conditional Logic,1
test_docstring.py,test_numpydoc_returns,Conditional Logic,1
test_docstring.py,test_numpydoc_returns_set_of_values,Conditional Logic,1
test_docstring.py,test_numpydoc_returns_alternative_types,Conditional Logic,1
test_docstring.py,test_numpydoc_returns_list_of,Conditional Logic,1
test_docstring.py,test_numpydoc_returns_obj,Conditional Logic,1
test_docstring.py,test_numpydoc_yields,Conditional Logic,1
test_docstring.py,test_numpy_returns,Conditional Logic,1
test_docstring.py,test_numpy_comp_returns,Conditional Logic,1
test_docstring.py,test_partial,Conditional Logic,1
test_compiled.py,test_next_docstr,Conditional Logic,1
test_compiled.py,test_method_completion,Conditional Logic,1
test_namespace_package.py,test_simple_completions,Conditional Logic,1
test_namespace_package.py,test_completions,Conditional Logic,2
test_stdlib.py,test_namedtuple_str,Conditional Logic,1
test_stdlib.py,test_namedtuple_list,Conditional Logic,1
test_stdlib.py,test_nested_namedtuples,Conditional Logic,1
test_stdlib.py,test_re_sub,Conditional Logic,1
test_imports.py,test_correct_zip_package_behavior,Conditional Logic,1
test_imports.py,test_flask_ext,Conditional Logic,1
test_imports.py,test_import_unique,Conditional Logic,1
test_imports.py,test_cache_works_with_sys_path_param,Conditional Logic,1
test_imports.py,test_import_completion_docstring,Conditional Logic,2
test_imports.py,test_complete_on_empty_import,Conditional Logic,1
test_imports.py,test_imports_on_global_namespace_without_path,Conditional Logic,1
test_imports.py,test_os_after_from,Conditional Logic,1
test_imports.py,test_os_issues,Conditional Logic,1
test_imports.py,test_path_issues,Conditional Logic,1
test_imports.py,test_relative_imports_with_multiple_similar_directories,Conditional Logic,1
test_imports.py,test_relative_imports_with_outside_paths,Conditional Logic,1
test_imports.py,test_relative_imports_without_path,Conditional Logic,1
test_imports.py,test_import_with_semicolon,Conditional Logic,1
test_imports.py,test_relative_imports_without_path_and_setup_py,Conditional Logic,2
test_imports.py,test_import_recursion,Conditional Logic,1
test_signature.py,test_compiled_signature,Conditional Logic,2
test_signature.py,test_tree_signature,Conditional Logic,2
test_signature.py,test_nested_signatures,Conditional Logic,1
test_signature.py,test_pow_signature,Conditional Logic,2
test_signature.py,test_wraps_signature,Conditional Logic,1
test_signature.py,test_dataclass_signature,Conditional Logic,1
test_sys_path.py,test_paths_from_assignment,Conditional Logic,1
test_sys_path.py,test_venv_and_pths,Conditional Logic,1
test_sys_path.py,test_transform_path_to_dotted,Conditional Logic,1
test_implicit_namespace_package.py,test_implicit_namespace_package,Conditional Logic,2
test_implicit_namespace_package.py,test_implicit_namespace_package_import_autocomplete,Conditional Logic,1
test_implicit_namespace_package.py,test_namespace_package_in_multiple_directories_autocompletion,Conditional Logic,1
test_implicit_namespace_package.py,test_namespace_name_autocompletion_full_name,Conditional Logic,1
test_annotations.py,test_simple_annotations,Conditional Logic,1
test_buildout_detection.py,test_path_from_sys_path_assignment,Conditional Logic,1
test_pyc.py,test_pyc,Conditional Logic,2
test_stub_loading.py,test_find_stubs_infer,Conditional Logic,1
test_stubs.py,test_infer_and_goto,Conditional Logic,2
test_typeshed.py,test_get_typeshed_directories,Conditional Logic,1
test_typeshed.py,test_keywords_variable,Conditional Logic,1
test_typeshed.py,test_goto_stubs_on_itself,Conditional Logic,1
test_typeshed.py,test_module_exists_only_as_stub,Conditional Logic,1
test_typeshed.py,test_django_exists_only_as_stub,Conditional Logic,1
test_conversion.py,test_stub_get_line_code,Conditional Logic,1
test_names.py,test_nested_definitions,Conditional Logic,1
test_names.py,test_async_stmt_with_all_scopes_false,Conditional Logic,1
test_names.py,test_follow_imports,Conditional Logic,1
test_names.py,test_no_error,Conditional Logic,1
test_unicode.py,test_unicode_attribute,Conditional Logic,1
test_documentation.py,test_version_info,Conditional Logic,1
test_search.py,test_simple_search,Conditional Logic,2
test_search.py,test_complete_search,Conditional Logic,1
test_analysis.py,test_issue436,Conditional Logic,1
test_api_classes_follow_definition.py,test_follow_import_incomplete,Conditional Logic,2
test_usages.py,test_import_references,Conditional Logic,1
test_usages.py,test_exclude_builtin_modules,Conditional Logic,1
test_usages.py,test_references_scope,Conditional Logic,2
test_call_signatures.py,test_with,Conditional Logic,1
test_call_signatures.py,test_multiple_signatures,Conditional Logic,1
test_call_signatures.py,test_decorator_in_class,Conditional Logic,1
test_call_signatures.py,test_flow_call,Conditional Logic,1
test_call_signatures.py,test_find_signature_on_module,Conditional Logic,1
test_call_signatures.py,test_complex,Conditional Logic,2
test_call_signatures.py,test_pow_params,Conditional Logic,1
test_call_signatures.py,test_param_name,Conditional Logic,1
test_call_signatures.py,test_builtins,Conditional Logic,2
test_call_signatures.py,test_signature_is_definition,Conditional Logic,2
test_call_signatures.py,test_signature_index,Conditional Logic,1
test_call_signatures.py,test_arg_defaults,Conditional Logic,1
test_call_signatures.py,test_lambda_params,Conditional Logic,1
test_call_signatures.py,test_class_creation,Conditional Logic,1
test_call_signatures.py,test_call_init_on_class,Conditional Logic,1
test_call_signatures.py,test_call_init_on_instance,Conditional Logic,1
test_call_signatures.py,test_call_magic_method,Conditional Logic,1
test_signatures.py,test_param_annotation,Conditional Logic,2
test_signatures.py,test_param_default,Conditional Logic,2
test_keyword.py,test_keyword,Conditional Logic,1
test_context.py,test_context,Conditional Logic,1
test_api.py,test_preload_modules,Conditional Logic,2
test_api.py,test_line_number_errors,Conditional Logic,1
test_api.py,test_completion_on_number_literals,Conditional Logic,1
test_api.py,test_completion_on_hex_literals,Conditional Logic,2
test_api.py,test_completion_on_complex_literals,Conditional Logic,1
test_api.py,test_goto_definition_not_multiple,Conditional Logic,1
test_api.py,test_reference_description,Conditional Logic,1
test_api.py,test_goto_definition_cursor,Conditional Logic,1
test_api.py,test_no_statement_parent,Conditional Logic,2
test_api.py,test_docstrings_for_completions,Conditional Logic,1
test_api.py,test_fuzzy_completion,Conditional Logic,1
test_api.py,test_math_fuzzy_completion,Conditional Logic,1
test_api.py,test_file_fuzzy_completion,Conditional Logic,1
test_api.py,test_infer_after_parentheses,Conditional Logic,2
test_interpreter.py,test_side_effect_completion,Conditional Logic,1
test_interpreter.py,test_getitem_side_effects,Conditional Logic,1
test_interpreter.py,test_property_warnings,Conditional Logic,1
test_interpreter.py,test__getattr__completions,Conditional Logic,2
test_interpreter.py,test_property_error_oldstyle,Conditional Logic,1
test_interpreter.py,test_property_error_newstyle,Conditional Logic,1
test_interpreter.py,test_completion_params,Conditional Logic,1
test_interpreter.py,test_completion_param_annotations,Conditional Logic,1
test_interpreter.py,test_keyword_argument,Conditional Logic,1
test_interpreter.py,test_dir_magic_method,Conditional Logic,2
test_interpreter.py,test_name_not_findable,Conditional Logic,1
test_interpreter.py,test_stubs_working,Conditional Logic,1
test_interpreter.py,test_simple_completions,Conditional Logic,1
test_interpreter.py,test_partial_signatures,Conditional Logic,1
test_interpreter.py,test_param_annotation_completion,Conditional Logic,1
test_interpreter.py,test_dict_completion,Conditional Logic,2
test_interpreter.py,test_dict_getitem,Conditional Logic,1
test_interpreter.py,test_dunders,Conditional Logic,1
test_interpreter.py,test_string_annotation,Conditional Logic,1
test_interpreter.py,test_name_not_inferred_properly,Conditional Logic,1
test_project.py,test_search,Conditional Logic,2
test_project.py,test_complete_search,Conditional Logic,1
test_project.py,test_is_potential_project,Conditional Logic,1
test_full_name.py,test_sub_module,Conditional Logic,1
test_full_name.py,test_os_issues,Conditional Logic,1
test_classes.py,test_basedefinition_type,Conditional Logic,1
test_classes.py,test_basedefinition_type_import,Conditional Logic,1
test_classes.py,test_completion_docstring,Conditional Logic,1
test_classes.py,test_completion_params,Conditional Logic,1
test_classes.py,test_functions_should_have_params,Conditional Logic,2
test_classes.py,test_hashlib_params,Conditional Logic,2
test_classes.py,test_param_endings,Conditional Logic,1
test_classes.py,test_is_definition_import,Conditional Logic,1
test_classes.py,test_parent,Conditional Logic,1
test_classes.py,test_parent_on_completion_and_else,Conditional Logic,2
test_classes.py,test_parent_on_comprehension,Conditional Logic,1
test_classes.py,test_type,Conditional Logic,2
test_classes.py,test_type_II,Conditional Logic,2
test_classes.py,test_class_types,Conditional Logic,1
test_classes.py,test_goto_repetition,Conditional Logic,1
test_classes.py,test_import,Conditional Logic,1
test_classes.py,test_builtin_module_with_path,Conditional Logic,1
test_classes.py,test_execute,Conditional Logic,1
test_classes.py,test_inheritance_module_path,Conditional Logic,1
test_classes.py,test_definition_start_end_position,Conditional Logic,2
test_completion.py,test_in_empty_space,Conditional Logic,2
test_completion.py,test_indent_value,Conditional Logic,1
test_completion.py,test_keyword_value,Conditional Logic,2
test_completion.py,test_os_nowait,Conditional Logic,1
test_completion.py,test_points_in_completion,Conditional Logic,1
test_completion.py,test_complete_expanduser,Conditional Logic,2
test_completion.py,test_fake_subnodes,Conditional Logic,2
test_completion.py,test_in_comment,Conditional Logic,1
test_completion.py,test_async,Conditional Logic,1
test_completion.py,test_keyword_completion,Conditional Logic,1
test_completion.py,test_file_path_completions,Conditional Logic,2
test_completion.py,test_dict_keys_completions,Conditional Logic,2
test_completion.py,test_module_completions,Conditional Logic,1
test_environment.py,test_find_system_environments,Conditional Logic,1
test_environment.py,test_versions,Conditional Logic,1
test_environment.py,test_error_in_environment,Conditional Logic,1
test_environment.py,test_killed_subprocess,Conditional Logic,1
test_environment.py,test_scanning_venvs,Conditional Logic,1
test_environment.py,test_get_default_environment_from_env_does_not_use_safe,Conditional Logic,1
test_basic.py,test_if,Conditional Logic,2
test_basic.py,test_class_and_if,Conditional Logic,2
test_error_correction.py,test_error_correction_with,Conditional Logic,2
test_parser_utils.py,test_get_signature,Conditional Logic,1
test_parser_utils.py,test_parser_cache_clear,Conditional Logic,1
test_typeshed.py,test_module_exists_only_as_stub,Exception Handling,1
test_typeshed.py,test_django_exists_only_as_stub,Exception Handling,1
test_api.py,test_preload_modules,Exception Handling,1
test_project.py,test_is_potential_project,Exception Handling,1
test_environment.py,test_versions,Exception Handling,1
test_error_correction.py,test_error_correction_with,Exception Handling,1
test_names.py,test_async_stmt_with_all_scopes_false,Sleepy Test,1
test_names.py,test_no_error,Redundant Print,1
test_debug.py,test_simple,Unknown Test,0
test_docstring.py,test_docstring_instance,Unknown Test,0
test_docstring.py,test_decorator,Unknown Test,0
test_imports.py,test_import_recursion,Unknown Test,0
pytest.py,test_p,Unknown Test,0
pytest.py,test_inheritance_fixture,Unknown Test,0
test_names.py,test_get_definitions_flat,Unknown Test,0
test_names.py,test_dotted_assignment,Unknown Test,0
test_names.py,test_multiple_assignment,Unknown Test,0
test_names.py,test_multiple_imports,Unknown Test,0
test_keyword.py,test_goto_keyword,Unknown Test,0
test_api.py,test_line_number_errors,Unknown Test,0
test_interpreter.py,test_sys_path_docstring,Unknown Test,0
test_completion.py,test_loading_unicode_files_with_bad_global_charset,Unknown Test,0
test_completion.py,test_module_completions,Unknown Test,0
test_environment.py,test_stdout_in_subprocess,Unknown Test,0
test_basic.py,test_form_feed_characters,Unknown Test,0
test_utils.py,test_version_info,Magic Number,1
test_integration.py,test_refactor,Magic Number,1
test_file_io.py,test_folder_io_walk,Magic Number,2
test_cache.py,test_cache_get_signatures,Magic Number,1
test_cache.py,test_cache_line_split_issues,Magic Number,1
test_settings.py,test_cropped_file_size,Magic Number,1
test_mixed.py,test_signature,Magic Number,1
test_mixed.py,test_compiled_signature_annotation_string,Magic Number,2
test_extension.py,test_completions,Magic Number,1
test_extension.py,test_get_signatures_extension,Magic Number,2
test_extension.py,test_get_signatures_stdlib,Magic Number,2
test_representation.py,test_function_execution,Magic Number,2
test_literals.py,test_thousand_separators,Magic Number,5
test_docstring.py,test_function_doc,Magic Number,1
test_docstring.py,test_class_doc,Magic Number,2
test_docstring.py,test_class_doc_with_init,Magic Number,1
test_docstring.py,test_instance_doc,Magic Number,1
test_docstring.py,test_docstring_keyword,Magic Number,1
test_docstring.py,test_docstring_params_formatting,Magic Number,1
test_docstring.py,test_doctest_result_completion,Magic Number,2
test_docstring.py,test_doctest_function_start,Magic Number,1
test_compiled.py,test_simple,Magic Number,2
test_namespace_package.py,test_goto_definition,Magic Number,3
test_namespace_package.py,test_goto_assignment,Magic Number,2
test_namespace_package.py,test_nested_namespace_package,Magic Number,1
test_namespace_package.py,test_relative_import,Magic Number,1
test_stdlib.py,test_namedtuple_infer,Magic Number,3
test_imports.py,test_find_module_basic,Magic Number,2
test_imports.py,test_find_module_package,Magic Number,1
test_imports.py,test_find_module_package_zipped,Magic Number,2
test_imports.py,test_find_module_not_package_zipped,Magic Number,2
test_imports.py,test_import_not_in_sys_path,Magic Number,3
test_imports.py,test_import_completion_docstring,Magic Number,3
test_imports.py,test_goto_definition_on_import,Magic Number,2
test_imports.py,test_complete_on_empty_import,Magic Number,8
test_imports.py,test_named_import,Magic Number,2
test_imports.py,test_nested_import,Magic Number,2
test_imports.py,test_os_issues,Magic Number,5
test_imports.py,test_relative_imports_with_multiple_similar_directories,Magic Number,1
test_imports.py,test_relative_imports_without_path,Magic Number,1
test_imports.py,test_relative_import_star,Magic Number,1
test_imports.py,test_relative_imports_without_path_and_setup_py,Magic Number,1
test_signature.py,test_pow_signature,Magic Number,2
test_signature.py,test_overload,Magic Number,2
test_sys_path.py,test_paths_from_assignment,Magic Number,3
test_implicit_namespace_package.py,test_implicit_namespace_package,Magic Number,5
test_implicit_namespace_package.py,test_implicit_nested_namespace_package,Magic Number,1
